,ID,Name,Province,ClimateID,StationID,WMOID,TCID,LatitudeDD,LongitudeDD,Latitude,Longitude,Elevation,FirstYear,LastYear,HourlyFirstYr,HourlyLastYr,DailyFirstYr,DailyLastYr,MonthlyFirstYr,MonthlyLastYr
257,7750,HORNEPAYNE A,Ontario,6053575,4077,NA,NA,49.2,-84.77,491200000,-844600000,335,1990,1995,NA,NA,1990,1995,1990,1995
258,7566,CAMERON FALLS,Ontario,6041109,3994,NA,NA,49.15,-88.35,490900000,-882100000,228.6,1924,1998,NA,NA,1924,1998,1924,1998
259,7567,CAMERON FALLS (AUT),Ontario,6041110,27674,71291,XCA,49.15,-88.34,490914000,-882041000,232.6,1998,2016,2000,2016,1998,2016,1998,2006
260,7607,KILLALA LAKE,Ontario,6044115,4016,NA,NA,49.15,-86.47,490900000,-862800000,289.6,1945,1954,NA,NA,1945,1954,1945,1954
261,7617,MANITOUWADGE,Ontario,6044903,4025,NA,NA,49.15,-85.8,490900000,-854800000,332.2,1956,1995,NA,NA,1956,1995,1956,1995
262,7807,RUTUS LAKE (CAMP 95),Ontario,605PKNR,9890,NA,NA,49.15,-83.08,490900000,-830500000,NA,NA,NA,NA,NA,NA,NA,NA,NA
263,7903,HUNTA,Ontario,6073630,4152,NA,NA,49.12,-81.27,490700000,-811600000,274.3,1950,1973,NA,NA,1950,1973,1950,1973
264,7613,LONG LAKE CONTROL DAM,Ontario,6044595,4021,NA,NA,49.08,-87.05,490500000,-870300000,317,1950,1964,NA,NA,1950,1964,1950,1964
265,7456,MINE CENTRE,Ontario,602520K,9873,NA,NA,49.07,-93.92,490400000,-935500000,NA,NA,NA,NA,NA,NA,NA,NA,NA
266,7561,BLACK STURGEON RIVER,Ontario,6040790,3992,NA,NA,49.07,-88.62,490400000,-883700000,219.5,1957,1959,NA,NA,1957,1959,1958,1959
267,7767,OBA,Ontario,6055754,4086,NA,NA,49.07,-84.1,490400000,-840600000,331,1926,1946,NA,NA,1926,1946,1926,1946
268,7883,COCHRANE,Ontario,6071712,4142,NA,NA,49.07,-81.03,490400000,-810200000,274.9,1910,1993,NA,NA,1910,1993,1910,1993
269,7690,UPSALA,Ontario,6049096,4058,NA,NA,49.05,-90.47,490300000,-902800000,483.7,1947,1972,NA,NA,1947,1972,1947,1972
270,7691,UPSALA RADAR,Ontario,6049097,7986,NA,WIM,49.04,-90.41,490215000,-902430000,507.2,NA,NA,NA,NA,NA,NA,NA,NA
271,7689,UPSALA (AUT),Ontario,6049095,4057,71435,WDV,49.03,-90.47,490200000,-902800000,488.5,1972,2016,1994,2016,1973,2016,1972,2006
272,7692,UPSALA TCPL 62,Ontario,6049098,4059,NA,NA,49.03,-90.52,490200000,-903100000,492.9,1970,1986,NA,NA,1970,1986,1970,1986
273,7981,WADE LAKE,Ontario,607RAH2,9898,NA,NA,49.03,-80.6,490200000,-803600000,NA,NA,NA,NA,NA,NA,NA,NA,NA
274,7459,NESTOR FALLS,Ontario,6025579,7379,NA,NA,49.02,-93.48,490100000,-932900000,NA,NA,NA,NA,NA,NA,NA,NA,NA
275,7709,CAMP 603,Ontario,604JJMQ,9897,NA,NA,49.02,-88.27,490100000,-881600000,NA,NA,NA,NA,NA,NA,NA,NA,NA
276,7467,SPHENE LAKE,Ontario,602797Q,9881,NA,NA,49,-93.47,490000000,-932800000,NA,NA,NA,NA,NA,NA,NA,NA,NA
277,7632,NIPIGON,Ontario,6045665,4031,NA,NA,49,-88.25,490000000,-881500000,184.4,1886,1922,NA,NA,1886,1922,1886,1922
278,7701,PORTAGE LAKE,Ontario,604F5PQ,9880,NA,NA,49,-86,490000000,-860000000,NA,NA,NA,NA,NA,NA,NA,NA,NA
279,7884,COMMUTER CAMP 8,Ontario,607183A,9899,NA,NA,49,-79,490000000,-790000000,NA,NA,NA,NA,NA,NA,NA,NA,NA
280,7973,CAMP 80 (SF P&P) WAKUS,Ontario,607JJDR,9894,NA,NA,49,-82,490000000,-820000000,NA,NA,NA,NA,NA,NA,NA,NA,NA
281,7975,ISLAND FALLS,Ontario,607LQLR,9900,NA,NA,49,-81,490000000,-810000000,NA,NA,NA,NA,NA,NA,NA,NA,NA
282,7575,DOG RIVER,Ontario,6042045,3999,NA,NA,48.98,-89.9,485900000,-895400000,448.1,1957,1960,NA,NA,1957,1960,1957,1960
283,7595,HERON BAY SOUTH,Ontario,6043460,4010,NA,NA,48.98,-85.82,485900000,-854900000,297.2,1954,1954,NA,NA,1954,1954,1954,1954
284,7602,KAMA TOWER,Ontario,6043945,7402,NA,NA,48.97,-88.02,485800000,-880100000,195.7,NA,NA,NA,NA,NA,NA,NA,NA
285,7657,RED ROCK  WX RADIO,Ontario,6046991,30211,NA,NA,48.97,-88.31,485825000,-881820000,350,NA,NA,NA,NA,NA,NA,NA,NA
286,7659,SAVANNE,Ontario,6047615,4045,NA,NA,48.97,-90.2,485800000,-901200000,459,1884,1954,NA,NA,1884,1954,1884,1954
287,7438,BERGLAND,Ontario,6020727,3933,NA,NA,48.95,-94.35,485700000,-942100000,363.9,1980,1981,NA,NA,1980,1981,1980,1981
288,7545,ABITIBI CAMP 11,Ontario,6040010,3980,NA,NA,48.93,-89.35,485600000,-892100000,442,1978,1983,NA,NA,1978,1983,1978,1981
289,7547,ABITIBI CAMP 228,Ontario,6040018,3982,NA,NA,48.93,-89.25,485600000,-891500000,472.4,1969,1978,NA,NA,1969,1978,1969,1978
290,7921,LOWBUSH,Ontario,6074620,4160,NA,NA,48.92,-80.12,485500000,-800700000,270.4,1951,1966,NA,NA,1951,1966,1951,1966
291,7465,ROY MINE,Ontario,6027202,7380,NA,NA,48.88,-91.25,485300000,-911500000,NA,NA,NA,NA,NA,NA,NA,NA,NA
292,7642,PAYS PLAT FORESTRY,Ontario,6046283,4037,NA,NA,48.88,-87.53,485300000,-873200000,190.5,1944,1950,NA,NA,1944,1950,1944,1950
293,7704,ROSSPORT,Ontario,604GA89,7580,NA,NA,48.88,-87.47,485300000,-872800000,196,NA,NA,NA,NA,NA,NA,NA,NA
294,7641,PAYS PLAT,Ontario,6046281,4036,NA,NA,48.87,-87.6,485200000,-873600000,185.3,1952,1965,NA,NA,1952,1965,1952,1965
295,7720,TERRACE BAY,Ontario,604QKKR,9877,NA,NA,48.87,-87.6,485200000,-873600000,NA,NA,NA,NA,NA,NA,NA,NA,NA
296,7469,STRATTON ROEN,Ontario,6028127,3949,NA,NA,48.85,-94.02,485100000,-940100000,347.2,1978,1983,NA,NA,1978,1983,1978,1983
297,7546,ABITIBI CAMP 11,Ontario,6040011,3981,NA,NA,48.85,-89.12,485100000,-890700000,491,1983,1988,NA,NA,1983,1988,1983,1988
298,7673,SUPERIOR WEST RADAR,Ontario,6048210,44608,NA,XNI,48.85,-89.12,485113000,-890717000,0,NA,NA,NA,NA,NA,NA,NA,NA
299,7457,MOOSE LAKE,Ontario,6025407,3944,NA,NA,48.83,-91.6,485000000,-913600000,396.2,1950,1972,NA,NA,1950,1972,1950,1972
300,7597,HURKETT,Ontario,6043670,7400,NA,NA,48.83,-88.47,485000000,-882800000,185.9,NA,NA,NA,NA,NA,NA,NA,NA
301,7660,SAVANNE LAKE,Ontario,6047617,4046,NA,NA,48.83,-90.1,485000000,-900600000,479.5,1969,1969,NA,NA,1969,1969,1969,1969
302,7663,SCHREIBER FORESTRY,Ontario,6047628,7590,NA,NA,48.83,-87.25,485000000,-871500000,284.4,NA,NA,NA,NA,NA,NA,NA,NA
303,7577,DORION TCPL 70,Ontario,6042067,4001,NA,NA,48.82,-88.52,484900000,-883100000,192.6,1969,1984,NA,NA,1969,1984,1970,1984
304,7662,SCHREIBER,Ontario,6047627,4048,NA,NA,48.82,-87.27,484900000,-871600000,301.8,1893,1975,NA,NA,1893,1975,1893,1975
305,7675,TERRACE BAY A,Ontario,6048231,7593,NA,NA,48.82,-87.1,484900000,-870600000,289.6,1994,2007,1994,2007,1996,2007,1996,2006
306,7676,TERRACE BAY(AUT),Ontario,6048235,32393,NA,ZTJ,48.82,-87.1,484900000,-870600000,289.6,2002,2007,2002,2007,2003,2006,2003,2006
307,7922,LOWER STURGEON,Ontario,6074630,4161,NA,NA,48.82,-81.48,484900000,-812900000,246.9,1950,1967,NA,NA,1950,1967,1950,1967
308,7631,FORT FRANCES WX RADIO,Ontario,6045628,30210,NA,NA,48.81,-93.89,484818000,-935324000,407,NA,NA,NA,NA,NA,NA,NA,NA
309,7434,ATIKOKAN MARMION,Ontario,6020384,3931,NA,NA,48.8,-91.58,484800000,-913500000,442,1979,2007,NA,NA,1979,2007,1979,2006
310,7464,PATULLO,Ontario,6026B69,9878,NA,NA,48.8,-94.17,484800000,-941000000,NA,NA,NA,NA,NA,NA,NA,NA,NA
